id,year,Company,Name,Exchange,Financial_Distress,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25
4101,2011,EBS,Sách Giáo d?c Hà N?i,HNX,0,1.32,1.98,2.39,0,0,0,0,0.58,0.36,0.58,0.37,0,0,4.92,4.92,0.53,0.54,0.52,57.95,-5.62,4.44,0.03,-0.78,-0.81,1279
5339,2013,PSC,V?n t?i Petrolimex SG,HNX,0,0.05,0.54,0.62,0.16,0.09,0.49,0.26,0.69,0.37,0.88,0.47,0,0,8.32,8.32,0.48,0.1,0.69,52.8,3.07,103.18,0.19,5.01,7.27,1321
5832,2012,SMT,SAMETEL,HNX,0,0.24,1.7,2.36,0,0,0.2,0.14,0.47,0.32,0.47,0.32,0,0,4.61,4.61,0.64,0.31,0.74,24.33,-5.41,27.65,0.34,3.09,4.59,1801
9769,2019,PWS,C?p thoát n??c Phú Yên,UPCOM,0,1.04,5.25,5.95,0.21,0.16,0.24,0.19,0.09,0.07,0.31,0.23,1.31,2.5,40.75,40.75,2.5,5.06,2.51,1075.15,25.07,1110.56,6.55,21.98,42.7,687
9839,2015,QCC,?T Xây d?ng & PT H? t?ng Vi?n Thông,UPCOM,0,0.17,2.27,3.26,0.02,0.01,0.04,0.03,0.4,0.28,0.41,0.29,1.41,5.02,10,10,0.65,0.69,0.65,15.15,6.29,14.51,0.66,5.15,6.04,1.01
10890,2017,VAV,VIWACO,UPCOM,0,0.62,0.73,0.86,0.54,0.26,0.55,0.26,0.54,0.26,1.1,0.52,2.1,19.43,3.19,3.19,2.14,1.14,1.07,656,2.67,723.56,1.26,5.08,6.61,8424.88
11473,2019,XHC,N?i th?t Xuân H?a,UPCOM,0,0.07,0.94,1.51,0.05,0.03,0.41,0.23,0.73,0.41,0.78,0.44,1.78,0.57,7.2,7.2,2.45,1.02,2.45,569.34,-34.54,627.86,1.13,12.54,20.73,3749
476,2018,CVT,CMC JSC,HOSE,0,0.09,0.23,0.94,0.05,0.02,0.63,0.3,1.06,0.5,1.1,0.52,2.1,0.85,4.97,4.97,1.27,0.56,1.27,805.36,8.84,1216.14,0.84,3.51,5.15,4415
1658,2010,LSS,Mía ???ng Lam S?n,HOSE,0,1.94,3.54,4.05,0.01,0,0.06,0.04,0.25,0.19,0.31,0.23,0,0,3.09,3.09,1.02,0.9,1.01,1200,6.41,801.87,0.59,1.8,1.98,8424.88
1728,2017,MSN,T?p ?oàn Masan,HOSE,0,0.48,0.7,0.98,1.27,0.36,1.72,0.55,0.77,0.24,2.14,0.68,3.14,0.56,33.27,33.27,2.9,2.48,2.98,4818.31,37.32,6993.74,3.24,17.31,27.51,2681
